Name,Type,One Liner,Industry,Website,Description,Business Model,Mega-trend,Driver,Value Chain Position,Stack Position,Theme,Focus Area,Opportunity Space- OLD,Tagged Opp Space?,Opp Space (V1),Final Opp Space,Founded,Employees,Country,City,Location,Funded,Funding Stage,Latest Funding Date,Latest Funding (USD),Total Funding (USD),Maturity,Fast Growth (Y/N),Relevance,Owner,Checked,Inc. Radar,Hero,BHG Partnered,OLD - Focus Areas,OLD - Opp Space,Input,RM Relationship,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Result,0.3,0.5,0.2,Text to no.conversion,Rnd,Contact - Email,Contact - LinkedIn
"20Cube",Startup,,Shipping,https://www.20cube.com/,Provider of tech-enabled freight forwarding services,,,,,,Data Utilisation,Market Intelligence,Freight Forwarding,Yes,Cargo Tracking,Cargo Tracking,2011,201-500,Singapore,,Global,Yes,Series B,,,"17,000,000",Mature,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,1,0.33,1,0.665,Mature,,,,,33570,,
2da,Startup,Analytics software to improve refined produts distribution and scheduling activities ,Energy,http://www.2da.us/,2DA is a software company and analytics lab focused on developing decision support solutions for commodity supply & trading businesses.  ,,,,,,Digital Trading,Digital Bunker Trading,Real time commodity location,Yes,Digital trading operations (merged with trade execution),Digital Trading Operations,2016,1-10,USA,Austin,Global,Yes,Series A,,,"2,100,000",Nascent,,,Vish,Yes,TRUE,,FALSE,Smart Ports,Data audit & standardisation,Old,General Scouting,,0.5,0.33,1,0.515,Emerging,,,,0,13006,,
4M Analytics,Startup,AI based security intelligence solutions provider,Mining,https://4manalytics.com,"4manalytics is an AI-based security intelligence solutions provider. The product offers cloud-based location intelligence solutions, remote sensing, and scouting of mine action. The product visually illustrates all the data collected, analyzed and merged, displaying the insights gained from it, using a convenient user interface and produces a smart map. It classifies the suspected hazardous area according to the risk. The features of the product include data collection, data analysis & fusion, etc.","Security & Surveillance Technology > Physical Security Intelligence
 Digital Twin > Digital Twin Platforms > Products > Multi-Industry > Field Operations
 Military Tech > Non Combat Systems > C4ISR > Intelligence Systems",,,,,Data Utilisation,Intelligent & Autonomous Shipping,,,Deprioritised,Deprioritised,2019,11-50,Israel,,Global,No,Unfunded,,,,Nascent,,2,Hazel,Yes,TRUE,,FALSE,"Infrastructure, Vessel & Asset efficiency",Equipment Management,Old,Decarb,,0.5,0,1,0.35,Nascent,,,,,1375,itzik@4m-a.com,"https://linkedin.com/in/yoav-cohen-959049187
 https://linkedin.com/in/itzik-malka-09579199"
4shipping,Startup,Online marketplace for freight transportation through inland waterways,Maritime,https://www.4shipping.com,"4shipping provides an online platform to connect boat owners and operators with shippers. Boat owners need to specify capacity details of their boat on the platform to receive suitable offers. If there is a shipping request, the boat operator can bid discreetly on the platform. Shippers create a load request and select an offer from available bids. The platform can also be used for monitoring the status of freight and communicate with the boat operator. It charges a commission of 1% on each transaction from the carrier.",,,,,,Digital Trading,Online Marketplace,Shipping marketplace,Yes,Bunker Marketplace (merged with integrated marketplace),Bunker Marketplace,2013,1-10,Netherlands,Rotterdam,Europe,Yes,Seed,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,29993,,
71lbs,,,Shipping,http://71lbs.com,71lbs provides analytics and reporting tools that help small and medium businesses save money on shipping.,,,,,,Digital Trading,Intelligent Sourcing,Freight Forwarding,Yes,Predicting supply & demand,Predicting Supply & Demand,2011,11-50,USA,,Global,Yes,Seed,,,"2,400,000",Emerging,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,1,0,1,0.5,Emerging,,,,,27805,,
AAA Propulsion,Startup,,Maritime,https://aaapropulsion.com/,"AAApropulsion is a provider of POD propulsion technology for hybrid solutions. The company offers propellers such as internal planetary gearbox, direct-drive version, counter-rotating propellers, and transverse thrusters.",,,,,,Decarbonisation,Eco-vessel Design,Hybrid design,,Deprioritised,Deprioritised,2017,1-10,Netherlands,,Europe,Yes,Seed,,,,Nascent,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,0.5,0,1,0.35,Nascent,,,,,19626,,
45HC.com,Startup,"Online platform for booking container space, carrier and customers broker",Maritime,http://www.45hc.com,"45HC is an online platform for booking container spaces, carrier and customs brokers for shipping products abroad. Using its online platform users can provide details about their port of origin and destination  and then select from a list of carriers, insurance and customs broker to finalise the shipping request. The platform sends live updates about the shipments once they are shipped from the port of origin.",,,,,,Digital Trading,Digital Bunker Trading,,,Digital trading operations (merged with trade execution),Digital Trading Operations,2015,1-10,China,,Global,Yes,Seed,,,,Nascent,,,Vish,Yes,TRUE,,FALSE,Business Model Innovation,Freight Orchestration,Old,General Scouting,,0.5,0,1,0.35,Nascent,,,,,8953,,
ABS Group,Corporate Venture,NS Voyage Manager,Shipping,https://www.abs-group.com/What-We-Do/Software-Solutions/Nautical-Systems-Software/Voyage-Manager/,"NS Voyage Manager streamlines operations aboard the ship for voyage reporting, environmental compliance reporting, charter party compliance and vessel performance analysis.",,,,,,Data Utilisation,Automating Compliance,,,Deprioritised,Deprioritised,2009,51-100,USA,,Global,Yes,Seed,,,"132,500",Emerging,,,Hazel,Yes,TRUE,FALSE,FALSE,,,New,,,1,0,1,0.5,Emerging,,,,,23335,,
Accelerated Dynamics,,Accelerated Dynamics builds AI for robot mission control and fleet management.,Shipping,accelerateddynamics.co/,Develops AI-based navigation and fleet management software for drones,,,,,,New Customer Services,Other,,,,Deprioritised,2016,1-10,United Kingdom,,Europe,Yes,Acquired,,,Undisclosed,Emerging,,,Vish,Yes,,,FALSE,,,Old,,,0.5,0.66,1,0.68,Emerging,,,,,4984,,
Accipiter Radar Technologies,Startup,Radar systems for persistent detection and tracking targets,Logistics,https://www.accipiterradar.com/,"Accipiter Radar provides 2D & 3D radar systems for persistent detection and tracking of cooperative and uncooperative targets on the water, in the air and on the ground. Products include Accipiter’s M3 Target Information System, a multi-sensor, multi-mission & multi-user platform for target data processing, query and retrieval; and Surveillance-to-Intelligence tools for a live tactical situational awareness in homeland security, aviation safety, and environmental protection. Other solutions include Radar-as-a-Service (RaaS), a cloud-based, real-time air domain awareness (ADA) and maritime domain awareness (MDA) intelligence and Cloud Intelligence service, a browser-based analytics detailing historical target traffic patterns over a region and time period.",,,,,,Decarbonisation,Other,,,,Deprioritised,1994,11-50,USA,Orchard Park,Global,Yes,Series A,,,"4,700,000",Emerging,,,Vish,Yes,,,FALSE,Eco friendly enforcement & enablement,Automated port surveillance,Old,General Scouting,,1,0.33,1,0.665,Emerging,,,,,13833,,
